// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
      0,2554,500
      0,33000,500
      0,14168,10
      0,12412,10
      0,4441,600
      0,4376,600
      0,4430,700
      0,4408,500
      0,4403,400
      0,4357,400


1,18550,600
1,18561,500
1,20450,800
1,33004,700
1,33002,1000
1,33003,1000


//Mid HGs
1,18540,1000
1,18747,800
1,20286,500
1,33006,1000
1,33005,750


//Lower HGs
1,18546,650
1,19805,550
1,20315,700
1,20405,700
1,31055,600

//Costume
1,18744,300
1,19910,300
1,20136,300
1,20154,300
1,20255,300
1,20285,300
1,20325,300
1,20349,300
1,20404,300
1,20439,300
1,20487,300

2,2712,350
2,5357,1000
      
